Team,Season,Tournament,Role,Player,player_page
Los Grandes,16,CBLOL Cup 2026,TOP,Zest,https://gol.gg/players/player-stats/4244/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Los Grandes,16,CBLOL Cup 2026,JUNGLE,Drakehero,https://gol.gg/players/player-stats/4485/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Los Grandes,16,CBLOL Cup 2026,MID,Feisty,https://gol.gg/players/player-stats/4234/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Los Grandes,16,CBLOL Cup 2026,BOT,Duduhh,https://gol.gg/players/player-stats/5786/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Los Grandes,16,CBLOL Cup 2026,SUPPORT,Ackerman,https://gol.gg/players/player-stats/3640/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,TOP,xyno,https://gol.gg/players/player-stats/5347/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,JUNGLE,YoungJae,https://gol.gg/players/player-stats/3198/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,MID,Envy,https://gol.gg/players/player-stats/833/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,BOT,Bull,https://gol.gg/players/player-stats/3438/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,SUPPORT,RedBert,https://gol.gg/players/player-stats/1011/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
LOUD,16,CBLOL Cup 2026,MID,Mago,https://gol.gg/players/player-stats/3909/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,TOP,Robo,https://gol.gg/players/player-stats/845/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,JUNGLE,Cariok,https://gol.gg/players/player-stats/1623/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,MID,Tinowns,https://gol.gg/players/player-stats/201/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,BOT,Trigger,https://gol.gg/players/player-stats/2575/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,SUPPORT,Kuri,https://gol.gg/players/player-stats/2672/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
paiN Gaming,16,CBLOL Cup 2026,BOT,Marvin,https://gol.gg/players/player-stats/5596/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
RED Canids,16,CBLOL Cup 2026,TOP,fNb,https://gol.gg/players/player-stats/1915/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
RED Canids,16,CBLOL Cup 2026,JUNGLE,Curse,https://gol.gg/players/player-stats/5274/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
RED Canids,16,CBLOL Cup 2026,MID,Kaze,https://gol.gg/players/player-stats/5009/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
RED Canids,16,CBLOL Cup 2026,BOT,Rabelo,https://gol.gg/players/player-stats/5784/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
RED Canids,16,CBLOL Cup 2026,SUPPORT,frosty,https://gol.gg/players/player-stats/5270/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,TOP,Boal,https://gol.gg/players/player-stats/2379/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,JUNGLE,Disamis,https://gol.gg/players/player-stats/3527/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,MID,Qats,https://gol.gg/players/player-stats/3513/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,BOT,Morttheus,https://gol.gg/players/player-stats/4758/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,SUPPORT,Kaiwing,https://gol.gg/players/player-stats/1006/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Vivo Keyd Stars,16,CBLOL Cup 2026,MID,Mireu,https://gol.gg/players/player-stats/3097/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
